num,lunar_date,solar_date,yun,ganji
1,2023-11-20,2024-01-01,f,甲子
2,2023-11-21,2024-01-02,f,乙丑
3,2023-11-22,2024-01-03,f,丙寅
4,2023-11-23,2024-01-04,f,丁卯
5,2023-11-24,2024-01-05,f,戊辰
6,2023-11-25,2024-01-06,f,己巳
7,2023-11-26,2024-01-07,f,庚午
8,2023-11-27,2024-01-08,f,辛未
9,2023-11-28,2024-01-09,f,壬申
10,2023-11-29,2024-01-10,f,癸酉
11,2023-12-1,2024-01-11,f,甲戌
12,2023-12-2,2024-01-12,f,乙亥
13,2023-12-3,2024-01-13,f,丙子
14,2023-12-4,2024-01-14,f,丁丑
15,2023-12-5,2024-01-15,f,戊寅
16,2023-12-6,2024-01-16,f,己卯
17,2023-12-7,2024-01-17,f,庚辰
18,2023-12-8,2024-01-18,f,辛巳
19,2023-12-9,2024-01-19,f,壬午
20,2023-12-10,2024-01-20,f,癸未
21,2023-12-11,2024-01-21,f,甲申
22,2023-12-12,2024-01-22,f,乙酉
23,2023-12-13,2024-01-23,f,丙戌
24,2023-12-14,2024-01-24,f,丁亥
25,2023-12-15,2024-01-25,f,戊子
26,2023-12-16,2024-01-26,f,己丑
27,2023-12-17,2024-01-27,f,庚寅
28,2023-12-18,2024-01-28,f,辛卯
29,2023-12-19,2024-01-29,f,壬辰
30,2023-12-20,2024-01-30,f,癸巳
31,2023-12-21,2024-01-31,f,甲午
32,2023-12-22,2024-02-01,f,乙未
33,2023-12-23,2024-02-02,f,丙申
34,2023-12-24,2024-02-03,f,丁酉
35,2023-12-25,2024-02-04,f,戊戌
36,2023-12-26,2024-02-05,f,己亥
37,2023-12-27,2024-02-06,f,庚子
38,2023-12-28,2024-02-07,f,辛丑
39,2023-12-29,2024-02-08,f,壬寅
40,2023-12-30,2024-02-09,f,癸卯
41,2024-1-1,2024-02-10,f,甲辰
42,2024-1-2,2024-02-11,f,乙巳
43,2024-1-3,2024-02-12,f,丙午
44,2024-1-4,2024-02-13,f,丁未
45,2024-1-5,2024-02-14,f,戊申
46,2024-1-6,2024-02-15,f,己酉
47,2024-1-7,2024-02-16,f,庚戌
48,2024-1-8,2024-02-17,f,辛亥
49,2024-1-9,2024-02-18,f,壬子
50,2024-1-10,2024-02-19,f,癸丑
51,2024-1-11,2024-02-20,f,甲寅
52,2024-1-12,2024-02-21,f,乙卯
53,2024-1-13,2024-02-22,f,丙辰
54,2024-1-14,2024-02-23,f,丁巳
55,2024-1-15,2024-02-24,f,戊午
56,2024-1-16,2024-02-25,f,己未
57,2024-1-17,2024-02-26,f,庚申
58,2024-1-18,2024-02-27,f,辛酉
59,2024-1-19,2024-02-28,f,壬戌
60,2024-1-20,2024-02-29,f,癸亥
61,2024-1-21,2024-03-01,f,甲子
62,2024-1-22,2024-03-02,f,乙丑
63,2024-1-23,2024-03-03,f,丙寅
64,2024-1-24,2024-03-04,f,丁卯
65,2024-1-25,2024-03-05,f,戊辰
66,2024-1-26,2024-03-06,f,己巳
67,2024-1-27,2024-03-07,f,庚午
68,2024-1-28,2024-03-08,f,辛未
69,2024-1-29,2024-03-09,f,壬申
70,2024-2-1,2024-03-10,f,癸酉
71,2024-2-2,2024-03-11,f,甲戌
72,2024-2-3,2024-03-12,f,乙亥
73,2024-2-4,2024-03-13,f,丙子
74,2024-2-5,2024-03-14,f,丁丑
75,2024-2-6,2024-03-15,f,戊寅
76,2024-2-7,2024-03-16,f,己卯
77,2024-2-8,2024-03-17,f,庚辰
78,2024-2-9,2024-03-18,f,辛巳
79,2024-2-10,2024-03-19,f,壬午
80,2024-2-11,2024-03-20,f,癸未
81,2024-2-12,2024-03-21,f,甲申
82,2024-2-13,2024-03-22,f,乙酉
83,2024-2-14,2024-03-23,f,丙戌
84,2024-2-15,2024-03-24,f,丁亥
85,2024-2-16,2024-03-25,f,戊子
86,2024-2-17,2024-03-26,f,己丑
87,2024-2-18,2024-03-27,f,庚寅
88,2024-2-19,2024-03-28,f,辛卯
89,2024-2-20,2024-03-29,f,壬辰
90,2024-2-21,2024-03-30,f,癸巳
91,2024-2-22,2024-03-31,f,甲午
92,2024-2-23,2024-04-01,f,乙未
93,2024-2-24,2024-04-02,f,丙申
94,2024-2-25,2024-04-03,f,丁酉
95,2024-2-26,2024-04-04,f,戊戌
96,2024-2-27,2024-04-05,f,己亥
97,2024-2-28,2024-04-06,f,庚子
98,2024-2-29,2024-04-07,f,辛丑
99,2024-2-30,2024-04-08,f,壬寅
100,2024-3-1,2024-04-09,f,癸卯
101,2024-3-2,2024-04-10,f,甲辰
102,2024-3-3,2024-04-11,f,乙巳
103,2024-3-4,2024-04-12,f,丙午
104,2024-3-5,2024-04-13,f,丁未
105,2024-3-6,2024-04-14,f,戊申
106,2024-3-7,2024-04-15,f,己酉
107,2024-3-8,2024-04-16,f,庚戌
108,2024-3-9,2024-04-17,f,辛亥
109,2024-3-10,2024-04-18,f,壬子
110,2024-3-11,2024-04-19,f,癸丑
111,2024-3-12,2024-04-20,f,甲寅
112,2024-3-13,2024-04-21,f,乙卯
113,2024-3-14,2024-04-22,f,丙辰
114,2024-3-15,2024-04-23,f,丁巳
115,2024-3-16,2024-04-24,f,戊午
116,2024-3-17,2024-04-25,f,己未
117,2024-3-18,2024-04-26,f,庚申
118,2024-3-19,2024-04-27,f,辛酉
119,2024-3-20,2024-04-28,f,壬戌
120,2024-3-21,2024-04-29,f,癸亥
121,2024-3-22,2024-04-30,f,甲子
122,2024-3-23,2024-05-01,f,乙丑
123,2024-3-24,2024-05-02,f,丙寅
124,2024-3-25,2024-05-03,f,丁卯
125,2024-3-26,2024-05-04,f,戊辰
126,2024-3-27,2024-05-05,f,己巳
127,2024-3-28,2024-05-06,f,庚午
128,2024-3-29,2024-05-07,f,辛未
129,2024-4-1,2024-05-08,f,壬申
130,2024-4-2,2024-05-09,f,癸酉
131,2024-4-3,2024-05-10,f,甲戌
132,2024-4-4,2024-05-11,f,乙亥
133,2024-4-5,2024-05-12,f,丙子
134,2024-4-6,2024-05-13,f,丁丑
135,2024-4-7,2024-05-14,f,戊寅
136,2024-4-8,2024-05-15,f,己卯
137,2024-4-9,2024-05-16,f,庚辰
138,2024-4-10,2024-05-17,f,辛巳
139,2024-4-11,2024-05-18,f,壬午
140,2024-4-12,2024-05-19,f,癸未
141,2024-4-13,2024-05-20,f,甲申
142,2024-4-14,2024-05-21,f,乙酉
143,2024-4-15,2024-05-22,f,丙戌
144,2024-4-16,2024-05-23,f,丁亥
145,2024-4-17,2024-05-24,f,戊子
146,2024-4-18,2024-05-25,f,己丑
147,2024-4-19,2024-05-26,f,庚寅
148,2024-4-20,2024-05-27,f,辛卯
149,2024-4-21,2024-05-28,f,壬辰
150,2024-4-22,2024-05-29,f,癸巳
151,2024-4-23,2024-05-30,f,甲午
152,2024-4-24,2024-05-31,f,乙未
153,2024-4-25,2024-06-01,f,丙申
154,2024-4-26,2024-06-02,f,丁酉
